Cluster	Type	GO	Info
5	C	GO:0005737 GO:0000502 GO:0005852 GO:0033290 GO:0071541 GO:0016282	48;37;14;12;12;12||14:149
5	P	GO:0002183 GO:0006412 GO:0006413 GO:0001732	14;14;13;12||7:58
5	F	GO:0003743 GO:0005198 GO:0016788	37;2;1||7:44
7	C	GO:0005840 GO:0016021 GO:0016020	160;13;13||6:191
7	F	GO:0003735 GO:0005524 GO:0004488	86;6;6||13:125
7	P	GO:0006412 GO:0055114 GO:0055085	88;6;2||6:99
8	P	GO:0006412	1||1:1
8	C	GO:0005840	2||1:2
8	F	GO:0003735	1||1:1
9	P	GO:0055114 GO:0019379 GO:0070814 GO:0019419	46;25;23;21||20:158
9	F	GO:0003824 GO:0004781 GO:0016740	166;51;48||34:473
9	C	GO:0005737 GO:0016021 GO:0016020	40;5;5||9:63
10	C	GO:0005634 GO:0005694 GO:0000786	757;583;463||13:1852
10	F	GO:0003677 GO:0046982 GO:0003743	608;308;3||27:948
10	P	GO:0006352 GO:0006334 GO:0006325	63;15;2||24:103
20	P	GO:0006561 GO:0016310 GO:0008652	197;195;124||29:757
20	F	GO:0004349 GO:0016301 GO:0016740 GO:0005524 GO:0000166 GO:0004072 GO:0003723	199;182;123;97;89;62;54||36:930
20	C	GO:0005737 GO:0016020 GO:0016021	284;8;7||6:304
23	F	GO:0004612 GO:0005524 GO:0017076 GO:0004611 GO:0016301 GO:0016829	141;139;88;88;86;40||20:664
23	P	GO:0006094 GO:0016310 GO:0006468	153;86;2||12:250
23	C	GO:0005737 GO:0016020 GO:0016021	15;6;4||5:31
27	F	GO:0005524 GO:0004672 GO:0016301 GO:0004674 GO:0000166	384;246;201;199;140||24:1258
27	P	GO:0006468 GO:0016310 GO:0035556	262;201;19||89:631
27	C	GO:0005737 GO:0005634 GO:0016021	29;22;7||26:99
34	C	GO:0016020 GO:0016021 GO:0005575	30;27;1||6:61
34	P	GO:0090114 GO:0008150 GO:0006437	1;1;1||9:9
34	F	GO:0000166 GO:0004812 GO:0004831	2;2;2||8:12
37	F	GO:0003676 GO:0003723	2;2||2:4
40	P	GO:0051276 GO:0035082 GO:0007059 GO:0007062 GO:0006260 GO:0030261	35;34;33;32;31;31||70:299
40	F	GO:0005524 GO:0000166 GO:0003677 GO:0003774	199;69;62;58||40:526
40	C	GO:0005737 GO:0016459 GO:0005694	98;62;38||49:295
43	F	GO:0003677 GO:0046982 GO:0031492	347;173;5||14:539
43	C	GO:0005634 GO:0005694 GO:0000786	365;338;243||10:972
43	P	GO:0006412 GO:0006352 GO:0015031	2;2;1||12:14
44	C	GO:0016020 GO:0016021	41;40||2:81
44	P	GO:0007165	2||1:2
45	F	GO:0008168 GO:0016740 GO:0003824	376;286;40||44:819
45	P	GO:0032259 GO:0009102 GO:0008152	268;24;18||24:354
45	C	GO:0016020 GO:0016021 GO:0005743	17;15;4||10:51
52	P	GO:0006412 GO:0030154 GO:0009231	208;3;2||15:225
52	C	GO:0005840 GO:0005737 GO:0022627	293;193;47||8:552
52	F	GO:0003735 GO:0016787 GO:0000166	199;3;2||19:224
62	C	GO:0016020 GO:0016021	1;1||2:2
65	C	GO:0016020 GO:0016021 GO:0005783	18;18;2||5:40
65	F	GO:0008081 GO:0004553 GO:0016730	3;1;1||6:8
65	P	GO:0006629 GO:0005975 GO:0009773	3;1;1||5:7
67	C	GO:0016020 GO:0016021	2;2||2:4
69	C	GO:0005634 GO:0042555 GO:0005737	1079;528;42||24:1917
