Cluster	Words
35236	protein glucosidase binding calmodulin body enkurin periplasmic beta basal flagellar
35543	protein synthetase cst cytoplasmic 6 kda replication e subunit 12 70 rpa70 stn1 and trna aspartate a ligase mitochondrial aspartyl asp c asprs rna asn complex chloroplast 1
31390	-
35545	protein binding dynein chain light dlc1 type outer cytoplasmic 20 8 arm calcium tegumental kda 2 1 flagellar
35230	-
35231	-
35548	kiaa0556 protein like k0556 kinase ste11 cdc15 ste
35238	protein n tim23 tim22 of subunit translocase pmp24 rich peroxisomal tim17 membrane mitochondrial terminal c region inner transmembrane tmem135 22 4 cysteine complex family 135
11543	protein isoform transferase stringent import 18 intracellular e subunit starvation chloride a mitochondrial c exc x1 2 s like channel 5 4 metaxin receptor glutathione 1
28997	project serine wgs data proteinase annotated 812 thermophilic caeq00000000 contig
11541	protein sorting to relatedprotein associated of mim late vacuolar vta1 vacuole lip5 structure ntd cerevisiae duf605 s like endosome domain transport containing crystal ist1
11547	-
28993	galactosyltransferase udp transferase glycosyl glucosyltransferase ggtase e glycoprotein 8 mannosyl mannosyltransferase putative glucose glycogenin sugar lgtc c trans3 nucleotid 2 trans nucleotide uggt diphospho 4 186 g family 1
28992	putative protein wd40 containing repeat
5989	-
19397	project wgs 2168 data annotated caeq00000000 contig
5983	protein emre duf914 tpt member efflux uaa transporter triose multidrug hexose uncharacterized 35 putative solute carrier resistance f1 translocator phosphate domain containing family
5980	protein gtp binding
5986	project protein wgs data annotated 925 caeq00000000 contig saf1
19392	protein oxoacyl acetyltransferase type 342319904 iii pathway e the from polyketide egu11849 gi acetyl syn a gb hydroxy coenzyme 9 mitochondrial protmap pks18 coa acp cut1 terminal methylglutaryl c r1128 synt synthase 3 by 2 ketosynthase biosynthetic hmg like 10 mvas rppa hydroxymethylglutaryl priming fae1 beta 1
19391	protein type associated mmr sar gtpase of ras pathway hsr1 subunit binding ribosome gtp arf spo0b gdp hpr related secretory terminal c uridine prk hprk dissociation domain kinase adp adenylate 50s phosphoribulokinase factor ii r small regulatory pka riia ribosylation other family inhibitor
5985	protein fmv n type specific carboxyl d methyltransferase e subunit dependent l sam 79 trna sun leucine h3 33 rlmj ribosomal rsmb 11 tellurite methyltransf resistance fmu lcm c histidine spermidine 16 lysine o synthase 2 dehydrogenase histone tehb rna alcohol 5 small mo5u34 large isoaspartyl rsmj 1 b
22267	titin
22266	udp chain diphosphogalactose oxidoreductase homolog rfbd n synthetase hsd dehydrorhamnose 6 dehydratase isomerase fucose d enoyl binding short galactose dependent rmld epimerase bind gdp glucose nad uridine ldh mannose 3 reductase dehydrogenase malate keto 3beta dtdp domain 4 substrate hydroxysteroid lactate sub deoxy family beta 1
22269	-
25063	stimulating follicle receptor hormone
25067	citrate reductoisomerase idh chain oxidoreductase n synthetase 6 d e fold subunit binding 12 semialdehyde g6pd gfo aspartate bind ligase moca glucose coa nad terminal c alpha phosphate 3 xylulose 267 atp 2 dehydrogenase lyase succinyl fructose domain 5 rossmann deoxy family beta glyceraldehyde 1
25065	protein arcelin also recognition ergic of integral amylase 53 binding lectin ser ace pancreatic l pha ala uea leg membrane p58 putative tn carbohydrate bean porcine alpha gly chitin vip36 thr like peptide domain vesicular ii val legume family phytohemagglutinin
23742	-
25069	serine protein like putative fmdb ribbon domain threonine duf4379 probable kinase containing regulatory zinc family srpk1
43870	aly protein to isoform acetyltransferase yeats of lineage myeloid com subunit the gln ser swr1 and mixed leukemia ala similar arg h3 family both 9 translocated ynl107w transcription af9 nua4 cerevisiae lymphoid or 3 histone thr initiation h4 peptide domain factor lys tfiid yaf9 complex af saccharomyces
43873	protein to chromatin stress of subunit the p90 response 1 largest similar a assembly cerevisiae nst1 rlf2 factor complex caf ypr018w saccharomyces
961	nadh ox rdase subunit oxidoreductase 21 ubiquinone i complex kda u
27371	protein smp hslj putativecalpain shock c2 peptidase ca meta heat uncharacterized putative mitochondrial clan myristoylated calpain like domain small cysteine family 1
27372	uncharacterised protein type major tr tripeptide transporter permease lactose abc and superfamily unc solute carrier sugar di facilitator ybfb phosphate 3 2 glycerol ion channel 93 4 regulatory mfs other facilitated family 1
