cluster	pdb	uniclust	scop	pfam	full
3536	0	1	1	0	1
35543	1	1	0	1	1
31390	0	0	0	0	0
35545	1	1	1	1	1
35230	0	0	0	0	0
35231	0	0	0	0	0
35548	0	1	0	0	1
35238	0	1	1	0	1
11543	1	1	0	0	1
28997	0	1	0	0	1
11541	1	1	1	0	1
11547	0	0	0	0	0
28993	1	1	1	1	1
28992	0	1	0	0	1
5989	0	0	0	0	0
19397	0	1	0	0	1
5983	1	1	1	0	1
5980	0	1	0	0	1
5986	0	1	0	0	1
19392	1	1	1	1	1
19391	1	1	1	1	1
5985	1	1	1	1	1
22267	0	1	0	0	1
22266	1	1	1	1	1
22269	0	0	0	0	0
25063	0	1	0	0	1
25067	1	1	1	1	1
25065	1	1	1	1	1
23742	0	0	0	0	0
25069	0	1	1	0	1
43870	1	1	1	0	1
43873	0	1	0	0	1
961	0	0	1	0	1
27371	1	1	1	1	1
27372	1	1	1	1	1
6795	1	1	1	1	1
6793	1	1	1	1	1
27376	1	1	1	1	1
46137	1	1	1	1	1
6799	1	1	1	1	1
31438	0	0	0	0	0
25288	1	1	1	0	1
25287	1	1	1	1	1
25284	0	0	0	0	0
25282	0	1	0	0	1
25283	1	1	1	1	1
25280	1	1	1	1	1
25281	1	1	1	1	1
16253	1	1	1	1	1
16252	1	1	1	1	1
32010	0	1	0	0	1
16709	1	1	1	0	1
32019	1	1	1	1	1
19978	0	1	0	0	1
16703	1	1	1	1	1
16702	0	0	0	0	0
22484	0	0	0	0	0
22487	1	1	1	1	1
22482	1	1	0	0	1
12014	1	1	1	0	1
12016	1	1	1	1	1
22489	0	1	0	1	1
49067	0	0	0	0	0
26391	1	1	1	1	1
24810	1	1	1	1	1
3486	1	1	1	1	1
26398	1	0	1	1	1
28563	0	1	1	0	1
42081	1	1	1	1	1
10703	0	1	0	0	1
9525	0	0	0	0	0
10701	1	1	1	1	1
10705	1	1	1	0	1
9251	1	1	1	1	1
49568	1	1	1	1	1
46794	1	1	1	1	1
21614	0	0	0	0	0
49563	1	1	1	1	1
47259	1	1	1	1	1
45119	1	1	1	0	1
26020	0	1	1	0	1
26128	0	0	0	0	0
45448	1	1	1	1	1
45446	0	0	0	0	0
45111	1	1	1	1	1
44645	1	1	1	1	1
45117	0	0	0	0	0
44798	1	1	1	1	1
19393	1	1	1	1	1
44241	1	1	1	1	1
44797	1	1	1	1	1
44796	1	1	1	1	1
49309	0	0	0	0	0
22876	0	0	0	0	0
37799	1	1	1	1	1
46861	1	1	1	1	1
42833	1	1	0	1	1
46867	0	0	0	0	0
42835	1	1	1	1	1
38502	0	0	0	0	0
38507	1	1	1	1	1
38506	0	0	1	0	1
3513	0	1	0	0	1
3516	1	1	1	1	1
2686	0	1	1	0	1
14625	1	1	1	1	1
14627	0	0	0	0	0
14622	1	1	1	1	1
160	0	0	0	0	0
38644	1	1	1	1	1
38647	0	1	0	0	1
90	0	0	0	0	0
92	1	1	1	1	1
30412	1	1	1	1	1
30417	1	1	1	1	1
36156	0	0	0	0	0
36157	0	1	0	0	1
36154	1	1	1	0	1
36155	0	1	0	0	1
36153	0	0	0	0	0
37476	0	1	0	0	1
13057	1	1	1	1	1
46969	1	1	1	1	1
33507	0	0	0	0	0
18707	1	1	1	1	1
22745	1	1	1	1	1
33857	1	1	1	1	1
41674	0	0	0	0	0
49719	0	0	0	0	0
33509	0	1	0	0	1
41566	0	1	0	0	1
17827	0	0	0	0	0
17825	0	1	0	0	1
41569	0	0	0	0	0
27579	1	1	1	1	1
27570	0	1	0	0	1
20251	1	1	1	1	1
27576	1	1	1	1	1
27577	0	1	0	0	1
40966	0	1	0	0	1
40743	0	1	0	0	1
40740	0	0	0	0	0
36170	1	1	1	1	1
49710	0	0	0	0	0
29818	0	1	1	0	1
29816	0	0	0	0	0
46963	0	1	0	0	1
29813	0	1	1	0	1
29763	0	0	0	0	0
29810	0	1	0	0	1
23059	1	1	1	0	1
23058	1	1	1	1	1
1170	0	0	1	0	1
23507	1	1	1	0	1
